,cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
39,Woolly Spider,Ice Age,0.1,0.1,0.181400455079059,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.293393634176884,0.3,0.205929383936384,0.2,0.180930909287471,0.2,0.2,0.384864932433322,0.9,0.48264775925525,0.2,0.273015750187502
40,Skirk Shaman,Planar Chaos,0.24827229464101,0.283703707818976,0.109178393889767,0.1,0.1,0.1,0.2,0.2,0.200126137319222,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110360003243272,0.197807207989579,0.2,0.2,0.30630591266588,0.4,0.4,0.299342096606534,0.335435904827971,0.151889710203198,0.262423862252041,0.3
41,Parapet,Visions,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.110810457751872,0.1,0.152243290800873,0.2,0.2,0.211167640903514,0.273856350124512,0.19078935249148,0.2,0.2,0.2,0.270039524280051
42,Brainbite,Alara Reborn,0.1,0.854075045278281,0.9,0.9,0.9,0.9,0.100237860540865,0.1,0.201010234926022,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.295614415979158,0.205929383936384,0.140096957926927,0.1,0.204123753853133,0.274834800682366,0.228508269845656,0.3,0.3,0.3,0.3
43,Bloodfire Infusion,Apocalypse,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.198989765073978,0.2,0.2,0.2,0.2,0.2,0.2,0.250438163660048,0.110210001891909,0.19912301477651,0.2,0.2,0.2,0.297251002587656,0.3,0.202631613573863,0.2,0.2,0.2,0.26765854355409
44,Ritual of Restoration,Darksteel,0.3,0.23240758230647,0.2,0.109236858275401,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.206139554467822,0.200150001351364,0.2,0.2,0.2,0.2,0.250515469231642,0.2,0.807898788141949,0.198648636474203,0.25240517943484,0.3,0.3
45,Wormfang Newt,Judgment,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.212888838517847,0.19520185758983,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.303603185614285,0.314432623016732,0.375163238494872,0.274560191581468,0.140840908476653,0.15240517943484,0.2,0.26765854355409
46,Orzhov Signet,Guildpact,0.2,0.2,0.476569950289135,0.301606043446307,0.3,0.3,0.197857112244461,0.253110708142775,0.3,0.3,0.3,0.199275351816693,0.2,0.2,0.25435409328012,0.3,0.3,0.3,0.3,0.3,0.367116370417752,0.300687120485778,0.3,0.3,0.286036360687934,0.37731883833854,0.5,0.3
47,Songs of the Damned,Ice Age,0.5,0.400000555561728,0.426569225640951,0.413854986204653,0.418785328689226,0.4,0.328808268689553,0.410222136295151,0.320959628482034,0.218875528620827,0.2,0.2,0.348022440868143,0.4,0.320570005135181,0.4,0.210360003243272,0.2,0.2,0.2,0.2,0.465120258971742,0.391828271142571,0.573245700601324,0.611711817223579,0.678865246033464,0.735757922871325,0.429961666210312
48,Nacatl Savage,Conflux,0.1,0.182037022633585,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.107894182818195,0.194070616063616,0.2,0.247597275651132,0.3,0.3,0.201973710180397,0.187387724213732,0.1,0.162423862252041,0.3
