cardname,setname,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28
Admonition Angel,Worldwake,3.0,2.67592695474394,2.5917868374903996,3.63072747864432,3.8072034508767003,3.9079628662540697,3.84309561565165,3.7617781570420896,3.86654065561103,5.28674682827504,5.941000539480781,6.04661009579849,6.207344977499809,5.777420603558119,5.65180046667087,5.6611804102685594,6.60210001891909,6.482457006013241,6.23878354599563,6.507246481833071,6.27777952954531,5.57611418674419,5.60784525186768,4.88837616284425,4.73017774934909,5.84862318168229,5.70847833596974,5.993254681603349
"Tezzeret, Agent of Bolas",Mirrodin Besieged,15.0,13.648151646129401,8.953850055797911,7.7570338196845805,8.56722938329986,9.66962077356415,11.8387926970385,14.8477519700263,18.099489390071103,21.403412691719197,22.1339589994605,17.520489427383,17.759050500428,15.961292117614802,15.498940080541301,15.4403511888314,16.0683235885008,22.708177081277398,38.236746507178005,21.6878969260424,22.9791371994342,21.923033227146696,19.624164199298,20.740568296951302,20.050597753132898,22.4711161970742,23.1636575210458,18.3313670400838
Platinum Emperion,Scars of Mirrodin,2.0,2.3379620884676497,2.4470999579704102,3.0433697996361397,4.01496665225976,8.58890487672085,7.548573551050731,7.10422472299631,8.07638466958083,9.3853401848215,8.12697930235924,7.342260032754099,7.43729396011831,6.211020339037731,8.930794421571369,8.690576191792001,8.30765682573717,8.47785102435558,8.98477629592592,9.38641646980391,24.076334921936198,17.9003546428314,20.8588442910645,18.100883564257398,17.5630726402941,21.646042742708698,20.6248540882562,19.035723044322
Thraximundar,Alara Reborn,8.89654458928202,10.6898104423382,12.710863200916,12.756628393113198,13.0,10.1772186357626,9.77928613265904,9.79199922665636,8.887880590004471,6.83253412691719,6.52961223173989,5.076356179075059,3.21003144094441,2.99892498266101,2.69519274948423,2.88508730378031,3.0,2.55153357281017,2.29391147991808,2.1157045754286297,2.2367881692627902,1.83298848441736,1.60228533892821,2.07105093488072,1.9896341408481202,2.58986432849823,2.18787977963236,1.5976190192740403
Rafiq of the Many,Shards of Alara,5.0,5.0,5.18670560442905,4.77048277690093,5.292512648412269,6.7420388004311205,7.17237389105559,7.17910638808517,7.5128728247941305,8.9714761623634,9.01820287109041,9.016880679430141,10.0457673370113,9.03762480040001,8.61005729781349,8.14517098909196,7.7312309119902,7.93967617994974,9.35817892479735,8.63888969405354,8.39504815358697,7.785564284167879,7.13954685385988,6.488819589731441,6.35555725727259,6.7243956123259006,7.18181421480391,7.3073352063715005
"Omnath, Locus of Mana",Worldwake,3.5,3.8379620884676497,4.06712488586791,4.030516632730509,4.52316968787871,5.27128634762609,6.29070558150831,5.939113854851401,6.224239956363309,10.306641043868,12.0614271240411,9.086717198799981,8.90677802354257,9.335754608945301,9.44984684546708,10.0,10.259910900098198,11.9008809326439,12.213459744805201,12.4770467687938,11.6587068351967,11.9738847823173,14.164096354830502,14.4282858984987,13.8424895719781,15.981441045783999,12.780264186621599,16.4847182704556
"Kozilek, Butcher of Truth",Rise of the Eldrazi,14.0,16.640359337326,19.6739141146973,23.6536132965457,28.5675090466868,38.2749830553673,37.334028343262,37.3504433392445,40.1031371449784,50.208419980963605,55.447385491914396,56.787608516065504,61.7457461503911,55.745677349634704,48.011994702655,36.078096422321295,30.2361696952225,30.6359754733615,26.290726353137998,22.3458963173379,22.864560491536004,24.289341642697302,26.1741936116394,26.8804721114752,30.2652749123866,41.365619233188,44.722184039709795,41.9956142335028
Sphinx Sovereign,Shards of Alara,0.9,0.9155551728352541,1.5765713995855,1.6,1.6,1.4994444382715402,1.5,1.4939985866478203,1.8960836824521399,4.33334377522621,2.77521677916815,2.5173893824548195,2.28644056305562,2.28521589057888,2.67026820061442,2.74780918169976,2.61411364066343,2.6745634810984398,3.45912701083664,3.71399585501239,3.4645627438085,2.64982937968433,1.87189552736328,2.50044145317702,2.52657681600735,2.61305838204518,2.37575955926471,2.26745318396648
Blightsteel Colossus,Mirrodin Besieged,7.0,8.016661296236629,5.53864186437485,5.77309666381523,6.0674959109823,10.222045244947198,10.944046343519199,11.4811090814544,12.6273892226456,17.5212936300437,21.593001881603698,19.876092407136298,20.6623136636751,19.735973967322103,26.220109190172895,24.4289497230227,28.038451697762998,27.5370675929946,27.008645756209198,25.0934680212757,25.381055234731804,29.4197579356488,30.225499519598397,28.771493045961105,29.217850611266798,35.3503319621852,36.789122529500496,40.5360647150561
Lux Cannon,Scars of Mirrodin,2.5,1.8240758230647,1.08454035565733,1.1080314220653302,1.35974499783896,1.5518522428026997,1.4204760068001,1.42133295110601,1.8444442760929998,2.62169122519548,2.6984637955762594,2.5246322410469704,2.53460410681446,2.5,2.5834813827151604,3.0,3.0,3.66886011658048,3.6251603380801702,3.1347831127987402,4.3537504842386,5.378868338848849,4.80162650248044,3.93048263792945,4.01396318885756,3.9118568232662203,4.11999763632066,4.506745318396651
Conflux,Conflux,1.3,1.07796253291703,1.8915506021826398,2.22730816033928,2.47598877956593,2.7237074856387298,3.4507185816940202,3.2755530073734302,3.0881290767354304,3.19096013204978,3.39539270253556,3.0659313903099994,3.34547792777905,3.10779689995,2.98798502689213,3.2664449532230697,3.70600455859963,3.74846445347965,4.6474341099433705,4.54323613385701,3.8217799259452794,2.17199301023722,1.7013059079589798,2.1048244055842797,2.35675501581095,2.47405901091764,1.5630193276241398,2.01110965606733
"Linvala, Keeper of Silence",Rise of the Eldrazi,4.5,7.555185057611751,10.260871172046,13.254006072362301,18.2723251891965,30.0041372681919,27.029738281975497,27.940441205882696,31.2810597049978,41.86652248822271,49.0428038526823,49.9408252293511,46.296196577937096,49.4341602283908,41.2478810619916,38.4644811115936,39.9061590644961,52.9068606165871,57.357366416984796,54.7608733459905,49.6629339003054,34.5060103712409,21.9477293672425,15.0022046342715,19.6456765376265,15.600329384839,17.579093256241,16.8
"Skithiryx, the Blight Dragon",Scars of Mirrodin,9.0,9.0,4.44612675546022,3.3313226665381497,3.9053619098466896,4.8137062634029295,5.115002357176531,5.17577901038681,5.619444465488371,6.83032024482223,7.916228503006621,7.68138523746721,10.336867261587,10.8086057839643,12.574476797088302,12.500003289517,12.689190893611698,12.4370616718641,12.708973163203499,13.3690836099074,13.8558568095208,15.9209631027124,20.316991509637397,21.0434189923552,24.2857341057127,25.9838441633419,26.4542482590593,25.9559459041179
Apocalypse Hydra,Conflux,3.33103662321539,3.3,4.56474296728938,4.21024891866167,4.51384121899338,5.22407082300914,6.577590394148491,7.91466552887372,9.33598739384389,13.151812070024901,10.645178883932699,9.24514268322729,10.0131399418639,9.058594493459571,7.95030811088388,4.60746522980566,3.66876953846431,5.6491236726799,4.58894075904576,4.5,3.9234249858106804,2.30361447025227,2.06369732739858,1.9695180199739502,2.57117091144965,2.7929607521727,1.8751522754959198,1.33313670400838
